City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,Tessalit,20.1986,1.0114,75.94,10,99,7.27,ML,1675718545
152,Khatanga,71.9667,102.5,-40.94,100,57,3.58,RU,1675718545
153,Turukhansk,65.8167,87.9833,-17.0,100,99,4.36,RU,1675718545
154,Ballina,-28.8667,153.5667,70.79,94,99,4.05,AU,1675718546
155,High Level,58.5169,-117.136,8.71,72,75,3.44,CA,1675718546
156,Bouloupari,-21.8667,166.05,82.31,79,51,4.03,NC,1675718547
157,Qaqortoq,60.7167,-46.0333,-7.91,71,69,7.92,GL,1675718547
158,Castro,-24.7911,-50.0119,75.97,64,30,0.38,BR,1675718548
159,Bogorodskoye,56.55,37.8833,3.11,100,95,5.32,RU,1675718549
160,Sinazongwe,-17.2614,27.4618,75.6,76,13,3.47,ZM,1675718549
161,Luanda,-8.8368,13.2343,80.6,78,40,6.91,AO,1675718549
162,Cape Town,-33.9258,18.4232,71.11,89,40,16.11,ZA,1675718430
163,Tromso,69.6496,18.957,42.82,87,75,29.93,NO,1675718553
164,Sambava,-14.2667,50.1667,75.52,89,100,3.98,MG,1675718554
165,Bonthe,7.5264,-12.505,77.2,75,99,9.57,SL,1675718554
166,Paamiut,61.994,-49.6678,11.59,89,100,3.49,GL,1675718555
167,Fort Nelson,58.8053,-122.7002,17.94,59,40,1.01,CA,1675718556
168,Omboue,-1.5746,9.2618,78.91,84,100,5.48,GA,1675718557
169,Sulmona,42.0479,13.9291,34.5,91,90,2.66,IT,1675718557
170,Half Moon Bay,37.4636,-122.4286,61.11,56,0,16.11,US,1675718558
171,Asau,46.4333,26.4,23.92,94,70,4.83,RO,1675718560
172,Bredasdorp,-34.5322,20.0403,70.99,87,92,4.76,ZA,1675718562
173,Cayhagan,9.6697,122.4256,76.44,87,89,6.87,PH,1675718562
174,Geraldton,-28.7667,114.6,63.01,82,40,6.91,AU,1675718564
175,Ponta Do Sol,32.6667,-17.1,59.63,55,20,9.42,PT,1675718565
176,Deputatskiy,69.3,139.9,-29.87,98,100,4.09,RU,1675718567
177,Mahebourg,-20.4081,57.7,79.09,89,75,11.5,MU,1675718568
178,Cockburn Town,21.4612,-71.1419,80.56,65,40,12.66,TC,1675718570
179,Broome,42.2506,-75.833,34.63,81,100,10.36,US,1675718315
180,Aki,33.5,133.9,44.55,81,100,5.86,JP,1675718572
181,Vila,42.0304,-8.1588,45.48,63,0,6.76,PT,1675718572
182,Palasa,18.7667,84.4167,65.55,76,0,5.57,IN,1675718574
